Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T056_018,SE_T056_019,SE_T056_020,SE_T056_021,SE_T056_022,SE_T056_023,SE_T056_024,SE_T056_025,SE_T056_026,SE_T056_027,SE_T056_028,SE_T056_029,SE_T056_030,SE_T056_031,SE_T057_001,SE_T057_002,SE_T057_003,SE_T057_004,SE_T057_005,SE_T057_006,SE_T057_007,SE_T057_008,SE_T057_009,SE_T057_010,SE_T057_011,SE_T057_012,SE_T057_013,SE_T057_014,SE_T057_015,SE_T057_016,SE_T057_017,SE_T057_018,SE_T057_019,SE_T057_020,SE_T057_021,SE_T057_022
"Census Tract 130","Census Tract 130, Cumberland County, Maine","80917857","13177632","140","00","1","1","23005013000","23","005","19",,"013000",3742,3742,119.7725,31.2425601971901,36.33047,31.24256,5.087913,3742,3628,26,12,11,0,8,57,3742,3697,3592,24,12,11,0,4,54,45,36,2,0,0,0,4,3,3742,3697,45,14,17,3,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,8,2,1,0,5,11,1,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"Census Tract 140","Census Tract 140, Cumberland County, Maine","82417933","14052069","140","00","1","1","23005014000","23","005","19",,"014000",3872,3872,121.6778,31.8217443478503,37.24728,31.82174,5.425534,3872,3770,13,9,21,0,6,53,3872,3845,3749,13,9,21,0,1,52,27,21,0,0,0,0,5,1,3872,3845,27,8,6,1,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,0,0,0,0,0,6,1,0,0,5,20,3,0,0,1,2,1,8,0,0,4,0,0,0,0,0,0,0,0,1,0,0
"Census Tract 150","Census Tract 150, Cumberland County, Maine","85951852","2169371","140","00","1","1","23005015000","23","005","19",,"015000",2730,2730,82.26311,33.1861985460936,34.0238,33.1862,0.8375989,2730,2659,9,19,5,1,7,30,2730,2705,2638,9,19,5,1,7,26,25,21,0,0,0,0,0,4,2730,2705,25,6,10,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 160","Census Tract 160, Cumberland County, Maine","147086868","26488185","140","00","1","1","23005016000","23","005","19",,"016000",5210,5210,91.7406,56.7905581029719,67.0177,56.79056,10.22715,5210,5032,38,22,18,2,10,88,5210,5147,4981,37,22,17,2,2,86,63,51,1,0,1,0,8,2,5210,5147,63,16,20,2,4,4,0,0,0,0,4,0,0,11,6,0,3,1,1,0,0,0,0,0,6,1,0,0,5,18,1,0,0,0,0,11,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0
"Census Tract 165","Census Tract 165, Cumberland County, Maine","176319399","37016548","140","00","1","1","23005016500","23","005","19",,"016500",3244,3244,47.65171,68.0773007442506,82.36947,68.0773,14.29217,3244,3163,7,18,20,0,4,32,3244,3232,3153,6,17,20,0,4,32,12,10,1,1,0,0,0,0,3244,3232,12,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,1,0,0,0,1,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 170.01","Census Tract 170.01, Cumberland County, Maine","110132800","4473960","140","00","1","1","23005017001","23","005","19",,"017001",6268,6268,147.4043,42.5225136178237,44.24992,42.52251,1.727406,6268,6116,23,18,36,2,11,62,6268,6227,6086,23,18,36,2,1,61,41,30,0,0,0,0,10,1,6268,6227,41,13,14,2,0,4,0,0,1,0,0,3,0,3,0,0,1,2,0,0,0,0,0,0,5,0,0,0,5,36,2,0,0,0,9,2,13,0,0,0,0,0,0,0,7,0,0,0,3,0,0
"Census Tract 170.02","Census Tract 170.02, Cumberland County, Maine","46217310","60132924","140","00","1","1","23005017002","23","005","19",,"017002",3611,3611,202.3581,17.8446046854271,41.06206,17.8446,23.21745,3611,3497,23,16,10,0,8,57,3611,3573,3473,22,16,9,0,1,52,38,24,1,0,1,0,7,5,3611,3573,38,5,14,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14,1,3,0,10,10,0,0,0,0,1,3,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"Census Tract 9651","Census Tract 9651, Oxford County, Maine","1986993555","131554127","140","00","1","1","23017965100","23","017","17",,"965100",1587,1587,2.068608,767.182525942205,817.9759,767.1826,50.79333,1587,1561,1,9,4,0,0,12,1587,1580,1556,1,9,4,0,0,10,7,5,0,0,0,0,0,2,1587,1580,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Census Tract 9655","Census Tract 9655, Oxford County, Maine","86276254","3239036","140","00","1","1","23017965500","23","017","17",,"965500",2215,2215,66.49365,33.3114500916607,34.56205,33.31145,1.250599,2215,2153,12,2,4,0,13,31,2215,2170,2124,11,2,4,0,0,29,45,29,1,0,0,0,13,2,2215,2170,45,12,27,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Census Tract 9656","Census Tract 9656, Oxford County, Maine","91255319","126359","140","00","1","1","23017965600","23","017","17",,"965600",3626,3626,102.9123,35.2338775314789,35.28267,35.23388,0.04878749,3626,3527,23,7,7,0,20,42,3626,3575,3496,23,7,6,0,8,35,51,31,0,0,1,0,12,7,3626,3575,51,17,14,0,3,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,14,3,4,0,7,7,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
